family,root_chord,root_notes,inversion,inversion_number,slash_symbol,bass_note,ordered_notes,local_image,provenance
half_diminished_7,Bbm7b5,Bb-Db-E-Ab,second,2,Bbm7b5/E,E,E-Ab-Bb-Db,half_diminished_7/second/bbm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Bbm7b5,Bb-Db-E-Ab,third,3,Bbm7b5/Ab,Ab,Ab-Bb-Db-E,half_diminished_7/third/bbm7b5_third.png,generated_locally_from_documented_chord_notes
diminished_triad,Bdim,B-D-F,first,1,Bdim/D,D,D-F-B,diminished_triad/first/bdim_first.png,generated_locally_from_documented_chord_notes
diminished_triad,Bdim,B-D-F,second,2,Bdim/F,F,F-B-D,diminished_triad/second/bdim_second.png,generated_locally_from_documented_chord_notes
diminished_7,Bdim7,B-D-F-Ab,first,1,Bdim7/D,D,D-F-Ab-B,diminished_7/first/bdim7_first.png,generated_locally_from_documented_chord_notes
diminished_7,Bdim7,B-D-F-Ab,second,2,Bdim7/F,F,F-Ab-B-D,diminished_7/second/bdim7_second.png,generated_locally_from_documented_chord_notes
diminished_7,Bdim7,B-D-F-Ab,third,3,Bdim7/Ab,Ab,Ab-B-D-F,diminished_7/third/bdim7_third.png,generated_locally_from_documented_chord_notes
half_diminished_7,Bm7b5,B-D-F-A,first,1,Bm7b5/D,D,D-F-A-B,half_diminished_7/first/bm7b5_first.png,generated_locally_from_documented_chord_notes
half_diminished_7,Bm7b5,B-D-F-A,second,2,Bm7b5/F,F,F-A-B-D,half_diminished_7/second/bm7b5_second.png,generated_locally_from_documented_chord_notes
half_diminished_7,Bm7b5,B-D-F-A,third,3,Bm7b5/A,A,A-B-D-F,half_diminished_7/third/bm7b5_third.png,generated_locally_from_documented_chord_notes
